journal_id,journal_index_date,code_group,amount_journal,kartu_piutang_id,amount_kartu_piutang,kartu_piutang_index_date
74852,26010108010001,120001,117117.00,15682,117117.00,260101080100001
74856,26010108010002,120001,12883.00,15683,12883.00,260101080100002
353156,26010108010003,120001,-130000.00,111091,-130000.00,260101080100004
74860,26010108020001,120001,7658.00,15685,7658.00,260101080200001
74864,26010108020002,120001,842.00,15686,842.00,260101080200002
353158,26010108020003,120001,-8500.00,111092,-8500.00,260101080200004
74900,26010108030001,120001,27027.00,15697,27027.00,260101080300001
74904,26010108030002,120001,7658.00,15698,7658.00,260101080300002
74908,26010108030003,120001,3815.00,15699,3815.00,260101080300003
353162,26010108030004,120001,-38500.00,111094,-38500.00,260101080300005
74912,26010108130001,120001,15315.00,15701,15315.00,260101081300001
74916,26010108130002,120001,1685.00,15702,1685.00,260101081300002
353164,26010108130003,120001,-17000.00,111095,-17000.00,260101081300004
74936,26010108190001,120001,5405.00,15710,5405.00,260101081900001
74940,26010108190002,120001,595.00,15711,595.00,260101081900002
353170,26010108190003,120001,-6000.00,111098,-6000.00,260101081900004
864514,26010108210001,120001,423423.00,294704,423423.00,260101082100001
864518,26010108210002,120001,97297.00,294705,97297.00,260101082100002
864522,26010108210003,120001,15315.00,294706,15315.00,260101082100003
864526,26010108210004,120001,117117.00,294707,117117.00,260101082100004
864530,26010108210005,120001,29279.00,294708,29279.00,260101082100005
864534,26010108210006,120001,37838.00,294709,37838.00,260101082100006
864538,26010108210007,120001,79231.00,294710,79231.00,260101082100007
864541,26010108210008,120001,-799500.00,294711,-799500.00,260101082100008
74944,26010108250001,120001,58559.00,15713,58559.00,260101082500001
74948,26010108250002,120001,27027.00,15714,27027.00,260101082500002
74952,26010108250003,120001,9414.00,15715,9414.00,260101082500003
353172,26010108250004,120001,-95000.00,111099,-95000.00,260101082500005
74956,26010108270001,120001,12613.00,15717,12613.00,260101082700001
74960,26010108270002,120001,10811.00,15718,10811.00,260101082700002
74964,26010108270003,120001,2576.00,15719,2576.00,260101082700003
353174,26010108270004,120001,-26000.00,111100,-26000.00,260101082700005
74968,26010108300001,120001,8108.00,15721,8108.00,260101083000001
74972,26010108300002,120001,19820.00,15722,19820.00,260101083000002
74976,26010108300003,120001,3072.00,15723,3072.00,260101083000003
74980,26010108300005,120001,10811.00,15725,10811.00,260101083000005
74984,26010108300006,120001,5405.00,15726,5405.00,260101083000006
74988,26010108300007,120001,1784.00,15727,1784.00,260101083000007
353176,26010108300009,120001,-31000.00,111101,-31000.00,260101083000009
353178,26010108300010,120001,-18000.00,111102,-18000.00,260101083000010
74992,26010108330001,120001,54054.00,15729,54054.00,260101083300001
74996,26010108330002,120001,54054.00,15730,54054.00,260101083300002
75000,26010108330003,120001,11712.00,15731,11712.00,260101083300003
75004,26010108330004,120001,15315.00,15732,15315.00,260101083300004
75008,26010108330005,120001,14865.00,15733,14865.00,260101083300005
75012,26010108330007,120001,193694.00,15735,193694.00,260101083300007
75016,26010108330008,120001,15315.00,15736,15315.00,260101083300008
75020,26010108330009,120001,90090.00,15737,90090.00,260101083300009
75024,26010108330010,120001,32901.00,15738,32901.00,260101083300010
75028,26010108330012,120001,11261.00,15740,11261.00,260101083300012
75032,26010108330013,120001,18018.00,15741,18018.00,260101083300013
75036,26010108330014,120001,9009.00,15742,9009.00,260101083300014
75040,26010108330015,120001,5405.00,15743,5405.00,260101083300015
75044,26010108330016,120001,4807.00,15744,4807.00,260101083300016
353180,26010108330018,120001,-150000.00,111103,-150000.00,260101083300018
353182,26010108330019,120001,-332000.00,111104,-332000.00,260101083300019
353184,26010108330020,120001,-48500.00,111105,-48500.00,260101083300020
103357,26010108340001,120001,15315.00,25624,15315.00,260101083400001
103361,26010108340002,120001,15315.00,25625,15315.00,260101083400002
103365,26010108340003,120001,3370.00,25626,3370.00,260101083400003
359002,26010108340004,120001,-34000.00,114009,-34000.00,260101083400005
103369,26010108400001,120001,14414.00,25628,14414.00,260101084000001
103373,26010108400002,120001,14414.00,25629,14414.00,260101084000002
103377,26010108400003,120001,30631.00,25630,30631.00,260101084000003
103381,26010108400004,120001,21622.00,25631,21622.00,260101084000004
103385,26010108400005,120001,8919.00,25632,8919.00,260101084000005
359004,26010108400006,120001,-90000.00,114010,-90000.00,260101084000007
174871,26010108440001,120001,12613.00,49991,12613.00,260101084400001
174875,26010108440002,120001,14865.00,49992,14865.00,260101084400002
174879,26010108440003,120001,27027.00,49993,27027.00,260101084400003
174883,26010108440004,120001,5995.00,49994,5995.00,260101084400004
353188,26010108440005,120001,-60500.00,111107,-60500.00,260101084400006
103389,26010108460001,120001,18919.00,25634,18919.00,260101084600001
103393,26010108460002,120001,2081.00,25635,2081.00,260101084600002
359006,26010108460003,120001,-21000.00,114011,-21000.00,260101084600004
75060,26010108470001,120001,13514.00,15750,13514.00,260101084700001
75064,26010108470002,120001,1486.00,15751,1486.00,260101084700002
353190,26010108470003,120001,-15000.00,111108,-15000.00,260101084700004
103397,26010108490001,120001,18919.00,25637,18919.00,260101084900001
