index_date,invoice_pack_number,total_kartu,inv_invoice_number,inv_total_price,inv_created_at
260124000000001,INV-S26-0388-0001,2000.00,INV-S26-0388-0001,1802.00,"2026-01-24 00:00:00"
260101094200001,INV-S26-0388-0002,225000.00,INV-S26-0388-0002,202703.00,"2026-01-01 09:42:00"
260101094300001,INV-S26-0388-0003,915000.00,INV-S26-0388-0003,824324.00,"2026-01-01 09:43:00"
260101095900001,INV-S26-0388-0004,17000.00,INV-S26-0388-0004,15315.00,"2026-01-01 09:59:00"
260101102300001,INV-S26-0388-0005,5500.00,INV-S26-0388-0005,4955.00,"2026-01-01 10:23:00"
260101103200001,INV-S26-0388-0006,30000.00,INV-S26-0388-0006,27027.00,"2026-01-01 10:32:00"
260101103400001,INV-S26-0388-0007,4000.00,INV-S26-0388-0007,3604.00,"2026-01-01 10:34:00"
260101103500001,INV-S26-0388-0008,33000.00,INV-S26-0388-0008,29730.00,"2026-01-01 10:35:00"
260101103600001,INV-S26-0388-0009,20000.00,INV-S26-0388-0009,18018.00,"2026-01-01 10:36:00"
260101103900001,INV-S26-0388-0010,20000.00,INV-S26-0388-0010,18018.00,"2026-01-01 10:39:00"
260101104100001,INV-S26-0388-0011,94000.00,INV-S26-0388-0011,84684.00,"2026-01-01 10:41:00"
260101105700001,INV-S26-0388-0012,30000.00,INV-S26-0388-0012,27027.00,"2026-01-01 10:57:00"
260101111000001,INV-S26-0388-0013,8500.00,INV-S26-0388-0013,7658.00,"2026-01-01 11:10:00"
260101111400001,INV-S26-0388-0014,64000.00,INV-S26-0388-0014,57658.00,"2026-01-01 11:14:00"
260101111400005,INV-S26-0388-0015,12000.00,INV-S26-0388-0015,10811.00,"2026-01-01 11:14:00"
260101111600001,INV-S26-0388-0016,43500.00,INV-S26-0388-0016,39189.00,"2026-01-01 11:16:00"
260101112000001,INV-S26-0388-0017,12000.00,INV-S26-0388-0017,10811.00,"2026-01-01 11:20:00"
260101112000004,INV-S26-0388-0018,16000.00,INV-S26-0388-0018,14414.00,"2026-01-01 11:20:00"
260101113200001,INV-S26-0388-0019,24500.00,INV-S26-0388-0019,22073.00,"2026-01-01 11:32:00"
260101114100001,INV-S26-0388-0020,21500.00,INV-S26-0388-0020,19370.00,"2026-01-01 11:41:00"
260101114500001,INV-S26-0388-0021,7000.00,INV-S26-0388-0021,6307.00,"2026-01-01 11:45:00"
260101115000001,INV-S26-0388-0022,78000.00,INV-S26-0388-0022,70270.00,"2026-01-01 11:50:00"
260101115100001,INV-S26-0388-0023,17000.00,INV-S26-0388-0023,15315.00,"2026-01-01 11:51:00"
260101115500001,INV-S26-0388-0024,280500.00,INV-S26-0388-0024,252703.00,"2026-01-01 11:55:00"
260101120400001,INV-S26-0388-0025,10000.00,INV-S26-0388-0025,9009.00,"2026-01-01 12:04:00"
260101120800001,INV-S26-0388-0026,19000.00,INV-S26-0388-0026,17117.00,"2026-01-01 12:08:00"
260101120900001,INV-S26-0388-0027,125000.00,INV-S26-0388-0027,112613.00,"2026-01-01 12:09:00"
260101121000001,INV-S26-0388-0028,17000.00,INV-S26-0388-0028,15315.00,"2026-01-01 12:10:00"
260101122100001,INV-S26-0388-0029,33000.00,INV-S26-0388-0029,29730.00,"2026-01-01 12:21:00"
260101123100001,INV-S26-0388-0030,15000.00,INV-S26-0388-0030,13514.00,"2026-01-01 12:31:00"
260101123500001,INV-S26-0388-0031,30000.00,INV-S26-0388-0031,27027.00,"2026-01-01 12:35:00"
260101124900001,INV-S26-0388-0032,22000.00,INV-S26-0388-0032,19820.00,"2026-01-01 12:49:00"
260101124700001,INV-S26-0388-0033,18000.00,INV-S26-0388-0033,16217.00,"2026-01-01 12:47:00"
260101125000001,INV-S26-0388-0034,7000.00,INV-S26-0388-0034,6306.00,"2026-01-01 12:50:00"
260101125400001,INV-S26-0388-0035,31000.00,INV-S26-0388-0035,27927.00,"2026-01-01 12:54:00"
260101130900001,INV-S26-0388-0036,21000.00,INV-S26-0388-0036,18919.00,"2026-01-01 13:09:00"
260101131800001,INV-S26-0388-0037,27500.00,INV-S26-0388-0037,24775.00,"2026-01-01 13:18:00"
260101132900001,INV-S26-0388-0038,22000.00,INV-S26-0388-0038,19820.00,"2026-01-01 13:29:00"
260101133200001,INV-S26-0388-0039,37000.00,INV-S26-0388-0039,33333.00,"2026-01-01 13:32:00"
260101134700001,INV-S26-0388-0040,15000.00,INV-S26-0388-0040,13514.00,"2026-01-01 13:47:00"
260101135100001,INV-S26-0388-0041,6000.00,INV-S26-0388-0041,5405.00,"2026-01-01 13:51:00"
260101140500001,INV-S26-0388-0042,6000.00,INV-S26-0388-0042,5405.00,"2026-01-01 14:05:00"
260101140900001,INV-S26-0388-0043,8500.00,INV-S26-0388-0043,7658.00,"2026-01-01 14:09:00"
260101142700001,INV-S26-0388-0044,6000.00,INV-S26-0388-0044,5405.00,"2026-01-01 14:27:00"
260101143100001,INV-S26-0388-0045,22000.00,INV-S26-0388-0045,19820.00,"2026-01-01 14:31:00"
260101143900001,INV-S26-0388-0046,39500.00,INV-S26-0388-0046,35585.00,"2026-01-01 14:39:00"
260101144700001,INV-S26-0388-0047,33000.00,INV-S26-0388-0047,29730.00,"2026-01-01 14:47:00"
260101145400001,INV-S26-0388-0048,343000.00,INV-S26-0388-0048,309009.00,"2026-01-01 14:54:00"
